Age,Gender,Previous_GPA,Attendance,Study_Hours_PerWeek,Major,Uni_Type,Financial_Status,Motivation,Stress_Levels,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Hours_PerDay,Nutrition,Screen_Time_PerDay,Educational_Tech_Use,Bullying,Learning_Style,Lack_of_Interest,GPA
22,F,1.3,94,9,,Private,Medium,Medium,Medium,High,89,Yes,8,,3,Yes,No,Kinesthetic,Low,1.3
18,,,93,16,Medicine,Private,Medium,High,Medium,Low,59,,6,Balanced,3,Yes,Yes,Kinesthetic,,1.7
18,M,3.7,80,12,Business,Public,Medium,High,High,High,82,Yes,5,Balanced,8,,Yes,,Low,1.3
18,M,1.7,91,6,,Public,High,Medium,Medium,Medium,20,Yes,,Balanced,9,No,No,Visual,Low,3
22,F,1,,8,Medicine,Public,Low,Low,High,High,,,9,,4,No,Yes,Visual,High,1.3
,M,1,96,12,Business,Private,High,High,High,Low,87,Yes,8,Healthy,4,Yes,Yes,Kinesthetic,High,2.3
18,F,3,99,8,Business,Private,Low,High,High,High,29,No,9,Unhealthy,7,No,Yes,Visual,High,3
21,F,4,81,8,Medicine,Public,Low,Medium,Low,High,33,No,8,Balanced,5,Yes,Yes,Kinesthetic,High,1
18,F,3.3,77,,Business,Public,Medium,Medium,Medium,High,35,No,5,Unhealthy,7,Yes,No,,,1.3
18,F,1.7,75,8,Medicine,Public,Medium,Medium,High,Medium,27,Yes,9,Balanced,7,No,Yes,Auditory,High,1.7
22,F,,82,19,Arts,Private,High,,Medium,Medium,89,Yes,8,Unhealthy,5,,,Visual,High,2.7
21,M,,74,15,Science,Private,High,High,High,Low,,Yes,6,Balanced,6,Yes,No,,Low,
22,F,3,96,11,Law,Private,Low,High,,Low,32,No,,Balanced,3,No,No,Kinesthetic,Medium,1.3
18,M,2.3,92,,Science,Public,Medium,High,Medium,Medium,44,Yes,4,Healthy,5,No,,Visual,Low,2.7
19,M,4,84,15,Engineering,Public,Low,Low,Low,Medium,21,No,5,Unhealthy,9,Yes,Yes,Auditory,High,
,F,3.3,97,13,Business,Public,Medium,Low,Low,Low,37,Yes,5,Balanced,9,No,Yes,Auditory,High,3.3
20,M,1.7,70,5,Engineering,Public,High,Low,Medium,,25,No,6,Unhealthy,10,Yes,No,Auditory,High,2.3
20,M,3.7,,11,,Public,,Medium,High,Medium,65,Yes,7,Balanced,9,No,No,Auditory,High,2.3
19,F,3.3,98,,Business,Private,High,High,Low,High,67,Yes,7,Balanced,2,Yes,No,Visual,Low,3.7
18,F,,,6,Law,Private,High,,,Low,63,Yes,9,Healthy,7,Yes,No,Visual,Medium,3
,M,,91,13,Medicine,Public,High,,Low,High,48,,,Unhealthy,8,Yes,No,Kinesthetic,Low,2.3
22,F,,70,9,Engineering,Public,High,,Medium,High,53,No,9,Unhealthy,5,No,Yes,Auditory,Low,3
21,F,3.3,93,13,Science,Public,Medium,Low,,High,67,No,,Healthy,6,Yes,No,Auditory,Low,
19,F,3.7,93,16,,Public,Low,Medium,High,Medium,93,No,6,Balanced,3,No,No,Auditory,,3
19,F,2.3,84,8,Arts,Public,Medium,Low,Medium,Medium,67,No,8,Balanced,4,No,Yes,Auditory,High,3
22,F,1.3,,19,Engineering,Public,,High,Low,Medium,39,No,8,Balanced,5,No,Yes,,High,3.7
19,F,4,73,7,,Private,Low,High,Medium,High,94,No,8,,6,Yes,No,Auditory,Low,1.7
19,M,4,99,10,Law,Public,High,,,Low,97,Yes,4,Unhealthy,4,Yes,Yes,Visual,High,1.3
20,F,4,78,18,,Public,Low,Low,High,High,39,Yes,9,Healthy,2,No,No,,High,3
20,M,3.3,76,17,Engineering,Private,Medium,Medium,Medium,Medium,,No,6,Balanced,,No,,Visual,High,3
20,M,2.3,79,,Medicine,Private,Low,Medium,High,Low,93,Yes,9,Balanced,10,Yes,No,Visual,High,1.3
21,F,,91,16,Business,,High,Low,Low,High,,Yes,6,Balanced,5,No,Yes,Auditory,Medium,3.3
20,,4,91,17,Medicine,Public,Low,Medium,Medium,Medium,58,No,7,Unhealthy,9,No,,Auditory,Low,
21,F,1.3,91,13,Science,,Low,High,,Low,80,Yes,9,Healthy,9,Yes,No,Kinesthetic,High,3.3
22,M,1,95,9,,Private,Medium,Low,Low,Medium,46,Yes,5,Unhealthy,4,No,Yes,Auditory,High,2
,M,3.3,89,,Arts,Public,Medium,High,,Medium,22,No,7,Unhealthy,8,No,,Auditory,High,1.3
22,F,3.3,85,5,Business,Private,High,Low,Medium,Medium,45,No,4,,10,No,No,Visual,Low,4
,F,2,78,7,Science,Public,High,Low,Low,,61,Yes,8,Healthy,6,Yes,Yes,,Low,2.7
20,M,1.7,72,20,Law,Private,Medium,High,,Low,89,Yes,4,Healthy,3,Yes,Yes,Kinesthetic,Low,2
19,F,1,95,8,Law,Public,Low,Low,Low,High,46,No,4,Unhealthy,7,,,Auditory,High,1.3
20,F,1,81,10,Business,Public,High,Low,High,Low,43,No,5,Balanced,7,No,,,Low,2
,,1.7,,20,Science,,High,High,Low,Medium,74,No,6,Healthy,6,Yes,No,Visual,,3.3
20,,2.3,97,18,Science,Private,Medium,Medium,Low,Low,72,No,4,Healthy,5,Yes,No,Auditory,Medium,4
20,M,2,77,6,Engineering,Public,High,High,Medium,Low,44,No,6,Unhealthy,4,Yes,Yes,Kinesthetic,Low,2
20,M,1.3,82,12,Engineering,,,Low,High,Medium,40,No,8,Healthy,10,Yes,No,,High,2
22,F,2.3,89,10,Science,Private,Medium,High,High,Low,91,,7,Balanced,9,Yes,No,Kinesthetic,Low,3.3
22,M,1.3,85,14,Arts,Private,High,,High,Low,95,,,Balanced,10,,No,Auditory,Low,2.3
22,M,2,,14,Science,Public,Low,High,Medium,,82,,9,Healthy,6,No,No,Kinesthetic,High,3.7
,,4,89,10,Medicine,Public,High,Low,Low,,60,No,5,Healthy,4,,No,Visual,Low,3.7
22,F,2,90,8,Law,Private,High,High,High,Medium,98,No,5,Balanced,9,Yes,No,Visual,Low,2.3
21,F,3,74,17,Medicine,,Medium,Medium,High,,47,No,5,Balanced,7,Yes,No,Visual,High,
21,F,3.7,,14,Arts,Public,High,High,Medium,Low,35,,,Unhealthy,3,Yes,Yes,Kinesthetic,Low,
21,,,78,19,Medicine,Public,,Medium,High,High,32,No,8,Healthy,5,No,Yes,Auditory,Low,3.7
18,F,2,85,11,Medicine,Private,High,Low,High,Low,20,Yes,8,,8,No,Yes,Kinesthetic,High,2
,F,2,91,18,,Private,Medium,Low,,Low,,Yes,,Unhealthy,5,No,No,Kinesthetic,Low,2.7
,,2,78,9,,Private,High,Medium,Medium,Medium,,Yes,,Healthy,5,No,No,,High,3.7
21,F,1,80,6,Law,Private,High,High,Low,Medium,88,No,,Healthy,3,No,No,,High,2.7
,M,3,79,19,Arts,Private,High,Low,High,Medium,64,Yes,9,Unhealthy,,Yes,,Visual,High,
22,M,2,79,11,Business,Private,Low,High,,,56,No,9,Healthy,,Yes,No,Auditory,Medium,3.3
21,M,1,75,9,Business,Private,,Low,,Low,43,Yes,,Unhealthy,10,Yes,Yes,Visual,Medium,
21,M,3,,7,Arts,Public,Low,High,Low,High,30,,8,Balanced,,Yes,Yes,Kinesthetic,Low,1
19,M,1.7,74,10,Science,,,Low,Low,High,29,No,7,Unhealthy,10,Yes,Yes,Auditory,,3.7
22,,3.7,74,20,Arts,Public,Medium,High,,Low,71,No,8,,8,Yes,No,Visual,Low,2
21,M,2.3,,,Medicine,Private,,Low,Low,,67,No,9,Balanced,7,No,Yes,,Medium,2.7
22,M,3,74,14,Medicine,Public,Low,,Low,Low,78,No,,Balanced,7,No,Yes,Auditory,Low,3.7
20,M,2,87,16,Arts,,Medium,High,Medium,Low,90,Yes,5,Balanced,2,No,No,Kinesthetic,High,3.3
22,,3.3,97,14,Law,,Medium,Low,Low,Low,50,Yes,9,Balanced,2,Yes,Yes,Auditory,,2.3
18,M,4,79,16,,Public,,Low,Low,Low,,No,8,Balanced,8,Yes,Yes,Auditory,Medium,3
22,F,2.7,81,17,Science,Public,High,High,Medium,Low,96,Yes,6,Unhealthy,,Yes,Yes,Auditory,Medium,2.7
19,F,4,85,18,Medicine,Private,Medium,Medium,Low,Medium,74,No,4,Balanced,9,,Yes,Kinesthetic,Low,1
19,F,2.7,79,17,Science,Private,Low,,High,,67,No,6,Unhealthy,3,No,Yes,Visual,Medium,4
20,F,1,,17,Science,Public,Medium,High,Medium,Medium,78,No,9,Unhealthy,2,Yes,Yes,Auditory,High,2
21,M,,73,16,,Private,,Low,High,Low,70,Yes,6,Healthy,,Yes,No,Kinesthetic,,3.3
22,M,3.3,76,14,Business,Public,Medium,,Medium,Medium,100,No,9,Balanced,10,No,Yes,Kinesthetic,Medium,
20,M,3.7,94,9,Medicine,,,,Medium,Low,67,No,9,Unhealthy,,No,No,Visual,Medium,3.7
19,F,,,10,,Public,High,Medium,Medium,Medium,27,No,8,Balanced,2,No,No,Kinesthetic,,2.7
21,F,1,72,7,Business,Private,High,Low,Medium,High,48,Yes,,Healthy,,Yes,No,Auditory,High,1
20,F,1.7,71,5,Business,Private,High,High,,Low,42,Yes,4,Unhealthy,7,No,No,Kinesthetic,Medium,1.7
19,M,1.3,81,12,Law,Private,Medium,Low,Low,High,89,No,7,Balanced,4,,Yes,Kinesthetic,Low,3.7
,M,1,83,8,Law,Public,Low,High,Medium,High,48,Yes,,Balanced,,Yes,Yes,Visual,,2.3
,,4,72,5,Engineering,Private,Medium,Low,,High,45,No,6,Unhealthy,4,Yes,No,Kinesthetic,Low,3.3
21,F,4,78,12,,Public,High,Medium,Medium,Low,,,8,Healthy,6,No,,Auditory,,2
20,M,,97,14,,Private,Medium,High,Medium,Low,93,No,8,Healthy,6,Yes,No,Visual,Low,2.3
21,M,4,88,9,Science,Public,Medium,Medium,High,Low,,Yes,4,Balanced,4,Yes,Yes,Auditory,High,3.3
18,F,2,70,14,Science,Public,High,,Low,Low,72,Yes,9,Balanced,7,Yes,No,,Medium,2.3
20,M,,82,20,Business,Public,High,Low,Low,Medium,36,No,9,Balanced,3,Yes,Yes,Visual,High,3
20,F,2.7,100,12,Science,Private,Medium,Low,High,High,,No,5,Healthy,9,No,No,Auditory,Medium,4
20,M,,97,18,Medicine,Private,Medium,Low,Low,Medium,62,,8,Healthy,6,No,No,Auditory,,3.7
20,M,1.7,78,19,Science,Private,High,Low,Medium,Medium,94,No,5,Healthy,3,Yes,No,,Low,3.3
19,M,4,80,,,,Low,High,High,High,65,No,5,Balanced,3,No,Yes,,Low,2
18,M,2,96,14,Law,,High,Medium,High,High,60,No,9,Unhealthy,,No,No,Kinesthetic,Low,1.3
19,M,,79,12,Law,Public,Medium,Medium,Low,High,99,Yes,4,Unhealthy,7,No,No,Visual,High,1.7
21,F,1.7,74,6,Business,Private,Medium,High,Low,Medium,50,No,8,Healthy,5,No,No,Auditory,,2
21,F,3.3,88,11,Engineering,Public,High,High,,,64,Yes,9,Balanced,5,Yes,Yes,Visual,,1
21,F,1.3,84,17,Medicine,Public,Low,High,Medium,Low,84,No,4,Balanced,7,No,No,Kinesthetic,Medium,3.3
,F,3.7,83,15,Science,Private,Medium,High,Medium,High,34,No,,Healthy,4,No,No,Kinesthetic,High,2
21,F,4,96,11,Medicine,,Low,High,Low,,84,No,7,Healthy,9,Yes,Yes,Kinesthetic,Medium,1.3
20,M,3.3,80,14,Arts,Private,High,Low,Medium,Low,96,Yes,6,Healthy,5,No,No,Visual,Low,1.7
20,M,1,89,11,Law,Public,Low,Medium,Medium,,37,Yes,9,Unhealthy,8,Yes,No,,High,2.7
18,F,3,89,15,Business,Private,Low,Medium,Low,Medium,87,No,8,Healthy,8,,Yes,Visual,High,1.3
22,,2.3,97,9,Arts,Private,Low,,High,High,39,No,9,Balanced,6,No,Yes,,Low,2
20,M,1.7,98,9,Arts,Public,High,Medium,Low,Medium,64,Yes,4,Unhealthy,2,Yes,Yes,Kinesthetic,High,4
19,F,,72,11,Medicine,,Low,Medium,Medium,Medium,39,Yes,7,Healthy,7,Yes,No,Auditory,Low,2.3
22,F,2.7,92,19,Arts,Private,Medium,Low,High,Medium,35,No,5,Healthy,8,Yes,,,Medium,3.7
18,M,1.7,,8,Business,,Medium,,Medium,Medium,23,No,9,Unhealthy,3,No,Yes,Visual,Medium,1
21,M,3.3,,12,Engineering,,High,Medium,High,High,,No,8,Healthy,3,Yes,No,Visual,Low,4
19,M,2.3,94,16,Law,Public,Medium,Low,Medium,Low,69,Yes,5,Unhealthy,3,Yes,No,Visual,Medium,1.3
18,M,2.3,95,9,Science,Private,,Low,High,Low,29,Yes,5,Unhealthy,8,Yes,Yes,Kinesthetic,Medium,2
22,F,1.3,94,13,Business,Private,High,,Low,High,47,Yes,,Healthy,9,No,Yes,Auditory,Low,3.3
20,F,3.3,82,6,Law,Private,High,High,High,,97,Yes,5,Unhealthy,8,No,No,Kinesthetic,Medium,4
19,M,1.3,91,5,Engineering,Public,Medium,Low,Low,Medium,,Yes,4,Balanced,4,Yes,Yes,Visual,Medium,3.7
20,M,1,78,10,Engineering,Public,High,High,Low,Low,88,No,4,Unhealthy,2,Yes,No,Auditory,High,3.3
19,M,3.7,78,17,Science,Public,Low,High,Low,Low,75,Yes,7,Unhealthy,5,No,Yes,Auditory,Medium,3.7
20,M,3.7,98,,Science,Private,Medium,High,High,Medium,40,No,8,Healthy,4,Yes,Yes,Visual,Low,2.7
19,M,2.7,98,,Business,Private,Medium,High,,Low,52,No,6,,10,Yes,No,Visual,Low,3
,M,,92,12,Engineering,Public,High,High,Low,Low,78,,8,Healthy,2,Yes,Yes,Visual,Low,
22,M,3.3,89,,Business,Private,Low,High,Medium,High,65,No,9,Unhealthy,7,No,Yes,Visual,High,3.3
18,M,3.7,70,8,Law,Public,High,Low,Medium,Low,38,No,8,Unhealthy,10,Yes,No,Kinesthetic,High,3.7
19,F,2,91,16,Medicine,Public,Medium,,Medium,Low,76,Yes,7,Unhealthy,6,Yes,Yes,Kinesthetic,High,1.7
21,M,1.3,83,10,Science,Private,High,High,High,High,91,No,,Unhealthy,,,Yes,Kinesthetic,Medium,2
19,F,,100,12,Arts,Private,High,Low,High,Low,32,No,8,Balanced,10,No,Yes,Visual,,2.3
22,F,1.3,98,20,Business,Public,Low,Low,Medium,High,93,Yes,4,Healthy,,Yes,Yes,Auditory,High,3.3
21,M,3.7,,18,Arts,Public,Medium,Medium,Medium,Low,51,No,8,Healthy,5,Yes,,Visual,,1.7
21,M,1,82,13,Law,Public,Medium,Medium,Low,High,66,Yes,,Unhealthy,4,No,Yes,Visual,High,
19,M,1.7,94,6,Arts,Public,Medium,Medium,High,High,21,No,4,Unhealthy,5,,Yes,Kinesthetic,Medium,4
18,M,2,76,8,Law,Public,Low,High,Medium,,26,,6,Unhealthy,8,No,Yes,Visual,Medium,3
,F,3,73,12,Medicine,Public,Low,Medium,Low,Medium,68,Yes,,Balanced,,Yes,,Visual,Low,
,F,,98,5,Law,Private,Low,High,Medium,Medium,80,Yes,8,Unhealthy,4,No,Yes,Visual,Low,3
22,F,,85,5,Arts,,Medium,High,Medium,High,58,No,5,Balanced,10,,Yes,Visual,Low,1.3
21,M,3,79,20,Medicine,Private,High,High,,Medium,84,Yes,9,Healthy,2,Yes,,Auditory,Low,3.7
19,F,2,84,,,Private,High,Medium,High,Low,26,Yes,8,Healthy,10,No,No,Kinesthetic,Low,4
19,F,3.7,,8,Arts,,Low,High,Medium,Low,65,No,8,Healthy,6,No,Yes,Visual,Low,2.3
19,F,4,71,12,Law,Public,Medium,Medium,High,High,,No,5,Healthy,4,No,Yes,Visual,Medium,1.3
18,M,4,79,15,Business,Public,Medium,High,Medium,Medium,74,No,8,Unhealthy,9,Yes,No,Visual,Low,2.7
20,F,1,,14,Engineering,Public,High,,High,Low,,No,5,Unhealthy,5,No,Yes,Auditory,Low,2.7
18,M,4,76,13,Business,Private,,High,High,Medium,45,Yes,8,Healthy,10,,Yes,Kinesthetic,Medium,
19,F,2.7,,17,,Public,Medium,Medium,Low,High,64,No,,Healthy,,Yes,Yes,Kinesthetic,Low,4
21,F,3,81,,Business,Public,Low,Medium,Low,Medium,37,No,5,Unhealthy,2,Yes,Yes,Kinesthetic,High,1.3
20,F,3.3,77,15,Law,,Medium,,Low,Low,29,No,9,,5,No,Yes,Visual,Medium,2.3
21,F,3.3,92,18,,Public,Low,Medium,High,Low,55,Yes,4,Unhealthy,4,Yes,No,Kinesthetic,Low,3.7
21,M,,97,17,Science,Public,Medium,Low,Low,High,73,,5,Unhealthy,9,No,,Auditory,Medium,1.7
22,F,3.7,99,6,Arts,Private,Medium,,High,High,69,No,9,Balanced,8,No,Yes,Visual,Medium,
20,F,3.7,,11,Engineering,Private,Low,High,Medium,High,29,Yes,9,Healthy,9,Yes,,Kinesthetic,Low,1
19,F,2.3,,,Arts,Private,High,Medium,Low,Medium,48,No,4,Balanced,5,No,No,Visual,High,3.7
,F,3.7,85,13,Arts,Private,High,Medium,Medium,Medium,46,Yes,8,Balanced,4,No,Yes,Auditory,Low,3.3
19,M,3,75,19,Arts,Private,High,Low,Low,Medium,81,Yes,7,Healthy,5,Yes,No,Auditory,Low,
19,M,2,,14,Law,,,High,Medium,Medium,82,No,,Healthy,8,No,No,Auditory,,
22,M,2,80,,Business,Private,Medium,Low,,Medium,94,No,8,Balanced,,No,Yes,Visual,Low,3.7
20,F,1,72,14,Arts,Private,Low,High,High,High,75,Yes,4,Healthy,5,Yes,,Visual,Low,4
,M,2.3,95,20,Business,Private,Low,High,High,Medium,73,No,8,Balanced,9,Yes,Yes,Visual,Low,4
19,M,2.3,70,15,,Private,Low,,High,High,,Yes,9,Balanced,9,Yes,No,Kinesthetic,High,2.7
,F,,81,8,,Private,Low,Low,Low,Medium,100,No,4,Balanced,8,Yes,Yes,Visual,Medium,3
22,M,4,95,8,Business,Public,,Medium,High,High,28,,8,Unhealthy,3,,Yes,Kinesthetic,Medium,2.3
18,M,1,99,,Business,,High,High,High,High,82,Yes,4,Unhealthy,9,No,No,Kinesthetic,High,1.7
20,M,2.7,87,13,Law,Public,High,,Low,Medium,93,No,5,Balanced,7,Yes,No,Auditory,Medium,2.3
20,F,,86,,,Public,Low,High,High,Medium,,,8,Unhealthy,2,No,No,Visual,High,3
20,F,3,97,18,Engineering,Public,Medium,Low,Low,Low,,No,5,Balanced,5,No,Yes,Auditory,Medium,1.3
22,M,3.7,80,6,Business,Public,Medium,High,Medium,Medium,65,Yes,5,Healthy,9,No,No,Kinesthetic,High,2
20,,1.7,83,16,Business,Public,High,Medium,,High,40,Yes,9,Balanced,,Yes,No,Kinesthetic,Low,1
21,M,,71,20,Business,Public,Medium,Medium,Low,Medium,90,,7,Unhealthy,10,,Yes,Kinesthetic,Medium,1.3
21,F,3.3,81,8,Law,Public,Low,Medium,,High,,No,4,,,No,Yes,Auditory,High,2.7
22,F,1.3,81,,Law,Private,Medium,High,High,Low,,Yes,6,Balanced,3,No,Yes,Auditory,High,3
19,M,4,77,10,Engineering,Public,Medium,Low,Medium,Low,28,Yes,,,3,No,No,Kinesthetic,High,2
18,M,1,88,19,Law,Private,Low,High,Low,Medium,87,Yes,7,Healthy,4,Yes,Yes,Kinesthetic,Medium,3
21,F,3.7,91,18,Science,Public,Medium,Medium,Medium,High,91,Yes,9,Balanced,6,Yes,No,Kinesthetic,Low,3.3
21,M,2,78,,Business,Private,Low,High,High,Medium,27,Yes,4,Unhealthy,,Yes,No,Kinesthetic,Medium,2
20,M,2.7,73,7,Law,Public,Low,High,Low,High,34,No,6,Balanced,10,No,Yes,Visual,High,2.3
20,M,2.7,,8,Law,Private,,Medium,High,High,81,No,5,Balanced,9,,No,Kinesthetic,High,2.3
18,M,2.3,82,13,Law,Private,Medium,Medium,,High,70,No,5,,9,No,Yes,Visual,Low,4
22,M,2,89,10,Arts,Private,High,High,Low,Low,34,Yes,5,,8,No,,Visual,Low,1.3
21,F,,92,,Business,Private,Medium,Low,High,Medium,86,No,4,,5,Yes,Yes,,,2.3
19,F,3.7,92,17,Science,Public,High,Medium,Medium,Low,91,Yes,,,,No,,Auditory,High,2.3
22,M,3,84,7,Medicine,Public,High,,High,Medium,100,Yes,9,Healthy,4,No,Yes,Visual,,1
22,M,2,88,18,Business,,High,High,High,Medium,58,Yes,5,Healthy,10,Yes,Yes,Kinesthetic,High,1.7
19,F,3,75,13,Medicine,Private,Medium,High,High,Low,23,Yes,7,Balanced,4,Yes,Yes,Visual,Low,2.3
20,F,3.3,79,17,Law,Private,Medium,High,Low,Medium,71,No,7,Unhealthy,9,Yes,Yes,Visual,Low,2.7
,M,2.3,70,9,Medicine,Private,Low,High,Low,Medium,71,Yes,9,Unhealthy,9,Yes,Yes,,High,3.3
21,M,4,73,14,,Public,High,High,,Low,21,No,6,Balanced,,Yes,Yes,Kinesthetic,Medium,1
22,F,,91,13,Business,Private,Low,Medium,Medium,High,31,No,4,Balanced,2,Yes,No,Kinesthetic,High,
18,F,2,85,11,Science,Private,Medium,Medium,,Medium,63,No,9,,8,,Yes,Kinesthetic,Low,3.7
21,F,3,70,15,,Private,High,High,Low,High,40,Yes,8,Balanced,8,No,,Kinesthetic,Low,2
21,M,3.7,79,6,Science,Public,High,High,Low,,56,Yes,4,Balanced,7,Yes,No,Visual,Medium,1.3
19,M,,,6,Arts,,High,Medium,,Low,81,No,5,Balanced,9,Yes,,Auditory,,3
,F,1,90,14,Law,Private,,High,Medium,High,64,Yes,,,10,Yes,No,Auditory,,1
21,M,,99,19,,Private,High,Medium,Low,Medium,,No,5,Unhealthy,7,Yes,Yes,Auditory,Medium,3.7
21,F,1.7,77,,Medicine,Private,Low,High,Low,Medium,48,,5,Unhealthy,5,Yes,Yes,Visual,High,3
22,F,2.3,70,16,Law,Private,Medium,Low,Low,Medium,97,No,5,Balanced,2,No,,Kinesthetic,Medium,1.7
22,F,3,75,16,Medicine,Private,High,Low,Medium,Medium,86,No,4,Unhealthy,9,Yes,Yes,Visual,Medium,3
22,F,4,79,,Medicine,Public,Low,,Low,Medium,82,Yes,,Unhealthy,8,Yes,Yes,Auditory,High,
20,F,1,89,11,Law,Public,Medium,Low,Low,Low,56,Yes,4,Healthy,3,No,Yes,Kinesthetic,,
18,,1.7,91,20,Arts,Public,Medium,Medium,Low,High,32,Yes,6,Healthy,7,No,No,Auditory,High,2
18,F,,74,8,Law,Public,,High,Medium,High,65,No,8,Healthy,10,,No,Visual,Medium,
18,,3.7,99,19,Medicine,Private,Medium,Low,Low,Medium,89,No,8,Healthy,8,No,,Kinesthetic,High,1.7
19,F,2,98,16,Engineering,Public,Low,High,Medium,Low,47,Yes,9,,4,No,Yes,Kinesthetic,Medium,1.7
20,M,2.7,88,6,Science,Public,,High,Low,Medium,39,Yes,5,Balanced,3,Yes,Yes,Visual,High,3.7
22,,4,93,8,Business,Private,High,High,High,Medium,82,Yes,6,Unhealthy,2,Yes,Yes,Visual,Low,2
19,F,2.3,96,14,Business,Public,High,Medium,Medium,Medium,57,No,6,Balanced,,No,Yes,Kinesthetic,Low,2.7
21,,3.3,,10,Business,Private,High,High,High,,,Yes,7,Balanced,2,,Yes,Visual,Low,2.7
18,F,3.7,79,16,Engineering,Public,High,High,Low,High,44,No,4,Balanced,,No,No,,Medium,1
20,M,3,87,5,Engineering,Public,Medium,High,,High,,No,6,Unhealthy,9,Yes,No,Auditory,High,2.7
21,M,2,,6,Law,Private,Low,Low,Low,Medium,,No,9,Unhealthy,4,Yes,No,Visual,Medium,
21,F,2.3,,7,Science,Private,Low,Low,Low,High,62,No,6,,5,Yes,No,Kinesthetic,Low,2
20,F,2.7,84,11,Engineering,Public,High,Low,Low,Low,99,No,8,Unhealthy,4,No,Yes,Kinesthetic,Medium,1
18,F,1,70,13,Arts,Public,Low,Medium,Medium,Low,72,Yes,8,Unhealthy,3,Yes,No,Visual,Medium,2.7
20,M,2.7,72,5,Engineering,Private,Medium,,Low,,54,,6,,3,No,No,Visual,Low,2.3
18,M,2,98,15,Engineering,Public,Low,High,Medium,High,23,Yes,6,Healthy,7,No,No,Visual,Low,2
19,M,2.7,81,12,Business,Public,High,Medium,Medium,Low,44,Yes,,Unhealthy,9,Yes,No,Auditory,High,1.7
22,M,3,88,8,Arts,Public,Low,,Low,High,92,Yes,,Unhealthy,,Yes,No,Auditory,High,1.3
19,F,1.7,93,5,Medicine,Public,,Low,Medium,Low,57,,4,Balanced,6,Yes,Yes,Auditory,,2
18,M,1,,13,,Public,High,Medium,High,High,35,Yes,5,Healthy,6,No,Yes,Auditory,Low,1
20,M,3.7,72,19,Medicine,Private,Medium,High,Medium,Low,,No,8,Unhealthy,6,No,No,Kinesthetic,Medium,3
19,,2,80,5,Medicine,Public,High,Low,Low,Medium,88,Yes,,,,Yes,Yes,Kinesthetic,Low,2.3
